,zpid,latlon,street,zipcode,city,state,bedrooms,bathrooms,finishedSqFt,yearBuilt,price,rent,tax.year,tax,hoa,lat,lon
1442,15155658,"[""37.745685"",""-122.38792""]",675 Arthur Ave #4B,94124,SAN FRANCISCO,CA,UNKNOWN,UNKNOWN,3160,1987,719000,5000,NA,814066,500,37.745685,-122.38792
1443,15155662,"[""37.745685"",""-122.38792""]",675 Arthur Ave # 4F,94124,SAN FRANCISCO,CA,UNKNOWN,UNKNOWN,3082,1987,719000,4995,NA,366260,"500""zpid""",37.745685,-122.38792
1516,15155644,"[""37.745685"",""-122.38792""]",675 Arthur Ave # 1A,94124,SAN FRANCISCO,CA,UNKNOWN,UNKNOWN,10687,1987,719000,9500,NA,1183000,"500""zpid""",37.745685,-122.38792
1517,15155657,"[""37.745685"",""-122.38792""]",675 Arthur Ave #4A,94124,SAN FRANCISCO,CA,UNKNOWN,UNKNOWN,3082,1987,719000,4995,NA,406135,500,37.745685,-122.38792
1518,15155658,"[""37.745685"",""-122.38792""]",675 Arthur Ave #4B,94124,SAN FRANCISCO,CA,UNKNOWN,UNKNOWN,3160,1987,719000,5000,NA,814066,500,37.745685,-122.38792
1519,15155662,"[""37.745685"",""-122.38792""]",675 Arthur Ave # 4F,94124,SAN FRANCISCO,CA,UNKNOWN,UNKNOWN,3082,1987,719000,4995,NA,366260,"500""zpid""",37.745685,-122.38792
1521,15155644,"[""37.745685"",""-122.38792""]",675 Arthur Ave # 1A,94124,SAN FRANCISCO,CA,UNKNOWN,UNKNOWN,10687,1987,719000,9500,NA,1183000,"500""zpid""",37.745685,-122.38792
1998,15155644,"[""37.745685"",""-122.38792""]",675 Arthur Ave # 1A,94124,SAN FRANCISCO,CA,UNKNOWN,UNKNOWN,10687,1987,719000,9500,NA,1183000,"500""zpid""",37.745685,-122.38792
1999,15155657,"[""37.745685"",""-122.38792""]",675 Arthur Ave #4A,94124,SAN FRANCISCO,CA,UNKNOWN,UNKNOWN,3082,1987,719000,4995,NA,406135,500,37.745685,-122.38792
2000,15155658,"[""37.745685"",""-122.38792""]",675 Arthur Ave #4B,94124,SAN FRANCISCO,CA,UNKNOWN,UNKNOWN,3160,1987,719000,5000,NA,814066,500,37.745685,-122.38792
2001,15155662,"[""37.745685"",""-122.38792""]",675 Arthur Ave # 4F,94124,SAN FRANCISCO,CA,UNKNOWN,UNKNOWN,3082,1987,719000,4995,NA,366260,"500""zpid""",37.745685,-122.38792
2019,15155657,"[""37.745685"",""-122.38792""]",675 Arthur Ave #4A,94124,SAN FRANCISCO,CA,UNKNOWN,UNKNOWN,3082,1987,719000,4995,NA,406135,500,37.745685,-122.38792
2020,15155658,"[""37.745685"",""-122.38792""]",675 Arthur Ave #4B,94124,SAN FRANCISCO,CA,UNKNOWN,UNKNOWN,3160,1987,719000,5000,NA,814066,500,37.745685,-122.38792
2021,15155662,"[""37.745685"",""-122.38792""]",675 Arthur Ave # 4F,94124,SAN FRANCISCO,CA,UNKNOWN,UNKNOWN,3082,1987,719000,4995,NA,366260,"500""zpid""",37.745685,-122.38792
2022,15155644,"[""37.745685"",""-122.38792""]",675 Arthur Ave # 1A,94124,SAN FRANCISCO,CA,UNKNOWN,UNKNOWN,10687,1987,719000,9500,NA,1183000,"500""zpid""",37.745685,-122.38792
2024,15155644,"[""37.745685"",""-122.38792""]",675 Arthur Ave # 1A,94124,SAN FRANCISCO,CA,UNKNOWN,UNKNOWN,10687,1987,719000,9500,NA,1183000,"500""zpid""",37.745685,-122.38792
2025,15155657,"[""37.745685"",""-122.38792""]",675 Arthur Ave #4A,94124,SAN FRANCISCO,CA,UNKNOWN,UNKNOWN,3082,1987,719000,4995,NA,406135,500,37.745685,-122.38792
2026,15155658,"[""37.745685"",""-122.38792""]",675 Arthur Ave #4B,94124,SAN FRANCISCO,CA,UNKNOWN,UNKNOWN,3160,1987,719000,5000,NA,814066,500,37.745685,-122.38792
2027,15155662,"[""37.745685"",""-122.38792""]",675 Arthur Ave # 4F,94124,SAN FRANCISCO,CA,UNKNOWN,UNKNOWN,3082,1987,719000,4995,NA,366260,"500""zpid""",37.745685,-122.38792
2372,15153397,"[""37.733488"",""-122.385049""]",2 Bass Ct,94124,San Francisco,CA,3,2.5,1511,1987,719000,4000,NA,392691,"500""zpid""",37.733488,-122.385049
2373,15153399,"[""37.733656"",""-122.385188""]",3 Bass Ct,94124,San Francisco,CA,3,3,1511,1986,719000,4000,NA,233905,"500""zpid""",37.733656,-122.385188
2376,15153396,"[""37.733502"",""-122.38496""]",4 Bass Ct,94124,San Francisco,CA,3,2,1511,1986,719000,4000,NA,471448,"500""zpid""",37.733502,-122.38496
2429,15153294,"[""37.734945"",""-122.385559""]",4 Lindsay Cir,94124,San Francisco,CA,4,2,1170,1990,719000,3995,NA,249439,500,37.734945,-122.385559
2430,15153374,"[""37.735551"",""-122.386199""]",4 Richards Cir,94124,San Francisco,CA,3,2,1570,1985,719000,4100,NA,228058,"500""zpid""",37.735551,-122.386199
2440,15153290,"[""37.735361"",""-122.385649""]",5 Lindsay Cir,94124,San Francisco,CA,3,2,1009,1990,719000,3995,NA,579663,500,37.735361,-122.385649
2441,15153378,"[""37.735912"",""-122.386131""]",5 Richards Cir,94124,San Francisco,CA,3,2,1549,1985,719000,4200,NA,351298,500,37.735912,-122.386131
2442,15159189,"[""37.727893"",""-122.396976""]",5 Orsi Cir,94124,San Francisco,CA,3,2,NA,1997,719000,4000,NA,241416,"500""zpid""",37.727893,-122.396976
2466,15153394,"[""37.733567"",""-122.384819""]",8 Bass Ct,94124,San Francisco,CA,3,3,1511,1986,719000,4000,NA,230977,"500""zpid""",37.733567,-122.384819
2467,15153395,"[""37.733528"",""-122.384887""]",6 Bass Ct,94124,San Francisco,CA,3,3,1511,1986,719000,4000,NA,225293,"500""zpid""",37.733528,-122.384887
2480,15153398,"[""37.733594"",""-122.385169""]",1 Bass Ct,94124,San Francisco,CA,3,2,1511,1986,719000,4000,NA,228466,"500""zpid""",37.733594,-122.385169
2481,111928209,"[""37.733731"",""-122.385214""]",5 Bass Ct,94124,San Francisco,CA,3,2,1511,1986,719000,4000,NA,228137,"500""zpid""",37.733731,-122.385214
2549,15154311,"[""37.724195"",""-122.39433""]",5945 3rd St,94124,San Francisco,CA,UNKNOWN,UNKNOWN,2378,1987,719000,4200,NA,400000,500,37.724195,-122.39433
2550,15154312,"[""37.724195"",""-122.39433""]",5945 3rd St,94124,San Francisco,CA,UNKNOWN,UNKNOWN,2385,1987,719000,4200,NA,400000,500,37.724195,-122.39433
2551,15154313,"[""37.724195"",""-122.39433""]",5945 3rd St,94124,San Francisco,CA,UNKNOWN,UNKNOWN,3195,1987,719000,4400,NA,412204,500,37.724195,-122.39433
